# batch_id=B-PARTNER_BETA-BANK-20240116,partner_code=PARTNER_BETA,business_date=2024-01-16,declared_count=49,declared_amount_paise=29025844
loan_reference,amount_paise,status,timestamp,utr_reference,event_type,correlation_id,business_event_id
LOAN-000007,127193,SUCCESS,2024-01-16T10:54Z,UTR-LOAN-000007-410,SETTLEMENT_DEBIT,CORR-LOAN-000007,EVT-LOAN-000007
LOAN-000008,328261,SUCCESS,2024-01-16T14:36Z,UTR-LOAN-000008-601,SETTLEMENT_DEBIT,CORR-LOAN-000008,EVT-LOAN-000008
LOAN-000010,227573,SUCCESS,2024-01-16T15:06Z,UTR-LOAN-000010-93,SETTLEMENT_DEBIT,CORR-LOAN-000010,EVT-LOAN-000010
LOAN-000017,742352,SUCCESS,2024-01-16T15:50Z,UTR-LOAN-000017-168,SETTLEMENT_DEBIT,CORR-LOAN-000017,EVT-LOAN-000017
LOAN-000034,529065,SUCCESS,2024-01-16T15:45Z,UTR-LOAN-000034-340,SETTLEMENT_DEBIT,CORR-LOAN-000034,EVT-LOAN-000034
LOAN-000043,920771,SUCCESS,2024-01-16T17:03Z,UTR-LOAN-000043-56,SETTLEMENT_DEBIT,CORR-LOAN-000043,EVT-LOAN-000043
LOAN-000055,662786,SUCCESS,2024-01-16T13:40Z,UTR-LOAN-000055-100,SETTLEMENT_DEBIT,CORR-LOAN-000055,EVT-LOAN-000055
LOAN-000058,837638,SUCCESS,2024-01-16T12:48Z,UTR-LOAN-000058-759,SETTLEMENT_DEBIT,CORR-LOAN-000058,EVT-LOAN-000058
LOAN-000065,772721,SUCCESS,2024-01-16T14:56Z,UTR-LOAN-000065-875,SETTLEMENT_DEBIT,CORR-LOAN-000065,EVT-LOAN-000065
LOAN-000076,585043,SUCCESS,2024-01-16T11:00Z,UTR-LOAN-000076-678,SETTLEMENT_DEBIT,CORR-LOAN-000076,EVT-LOAN-000076
LOAN-000086,929389,SUCCESS,2024-01-16T13:17Z,UTR-LOAN-000086-940,SETTLEMENT_DEBIT,CORR-LOAN-000086,EVT-LOAN-000086
LOAN-000087,409828,SUCCESS,2024-01-16T12:19Z,UTR-LOAN-000087-484,SETTLEMENT_DEBIT,CORR-LOAN-000087,EVT-LOAN-000087
LOAN-000089,354281,SUCCESS,2024-01-16T12:52Z,UTR-LOAN-000089-218,SETTLEMENT_DEBIT,CORR-LOAN-000089,EVT-LOAN-000089
LOAN-000105,397859,SUCCESS,2024-01-16T13:21Z,UTR-LOAN-000105-611,SETTLEMENT_DEBIT,CORR-LOAN-000105,EVT-LOAN-000105
LOAN-000129,227257,SUCCESS,2024-01-16T13:09Z,UTR-LOAN-000129-872,SETTLEMENT_DEBIT,CORR-LOAN-000129,EVT-LOAN-000129
LOAN-000158,910086,SUCCESS,2024-01-16T13:53Z,UTR-LOAN-000158-426,SETTLEMENT_DEBIT,CORR-LOAN-000158,EVT-LOAN-000158
LOAN-000161,869232,SUCCESS,2024-01-16T15:50Z,UTR-LOAN-000161-601,SETTLEMENT_DEBIT,CORR-LOAN-000161,EVT-LOAN-000161
LOAN-000181,200034,SUCCESS,2024-01-16T12:50Z,UTR-LOAN-000181-210,SETTLEMENT_DEBIT,CORR-LOAN-000181,EVT-LOAN-000181
LOAN-000183,499256,SUCCESS,2024-01-16T17:04Z,UTR-LOAN-000183-318,SETTLEMENT_DEBIT,CORR-LOAN-000183,EVT-LOAN-000183
LOAN-000204,732747,SUCCESS,2024-01-16T14:49Z,UTR-LOAN-000204-731,SETTLEMENT_DEBIT,CORR-LOAN-000204,EVT-LOAN-000204
LOAN-000216,454276,SUCCESS,2024-01-16T11:29Z,UTR-LOAN-000216-292,SETTLEMENT_DEBIT,CORR-LOAN-000216,EVT-LOAN-000216
LOAN-000218,557951,SUCCESS,2024-01-16T15:12Z,UTR-LOAN-000218-580,SETTLEMENT_DEBIT,CORR-LOAN-000218,EVT-LOAN-000218
LOAN-000224,248624,SUCCESS,2024-01-16T11:26Z,UTR-LOAN-000224-220,SETTLEMENT_DEBIT,CORR-LOAN-000224,EVT-LOAN-000224
LOAN-000236,490894,SUCCESS,2024-01-16T15:20Z,UTR-LOAN-000236-765,SETTLEMENT_DEBIT,CORR-LOAN-000236,EVT-LOAN-000236
LOAN-000245,714505,SUCCESS,2024-01-16T14:22Z,UTR-LOAN-000245-915,SETTLEMENT_DEBIT,CORR-LOAN-000245,EVT-LOAN-000245
LOAN-000246,709870,SUCCESS,2024-01-16T12:19Z,UTR-LOAN-000246-542,SETTLEMENT_DEBIT,CORR-LOAN-000246,EVT-LOAN-000246
LOAN-000257,362658,SUCCESS,2024-01-16T16:11Z,UTR-LOAN-000257-266,SETTLEMENT_DEBIT,CORR-LOAN-000257,EVT-LOAN-000257
LOAN-000268,652339,SUCCESS,2024-01-16T11:08Z,UTR-LOAN-000268-458,SETTLEMENT_DEBIT,CORR-LOAN-000268,EVT-LOAN-000268
