#HDR|B-PARTNER_GAMMA-LMS-20240117|PARTNER_GAMMA|2024-01-17|62|36196793
LOAN_ID|DISB_AMT_PAISE|TS|STATUS|UTR|EVT_TYPE|CORR_ID|BIZ_EVT_ID
LOAN-000005|848217|2024-01-17T12:25Z|SUCCESS|UTR-LOAN-000005-164|LMS_BOOKING|CORR-LOAN-000005|EVT-LOAN-000005
LOAN-000009|792798|2024-01-17T11:25Z|SUCCESS|UTR-LOAN-000009-501|LMS_BOOKING|CORR-LOAN-000009|EVT-LOAN-000009
LOAN-000019|546778|2024-01-17T13:17Z|SUCCESS|UTR-LOAN-000019-35|LMS_BOOKING|CORR-LOAN-000019|EVT-LOAN-000019
LOAN-000028|297183|2024-01-17T16:06Z|SUCCESS|UTR-LOAN-000028-843|LMS_BOOKING|CORR-LOAN-000028|EVT-LOAN-000028
LOAN-000046|431680|2024-01-17T10:21Z|SUCCESS|UTR-LOAN-000046-226|LMS_BOOKING|CORR-LOAN-000046|EVT-LOAN-000046
LOAN-000047|960895|2024-01-17T11:30Z|SUCCESS|UTR-LOAN-000047-366|LMS_BOOKING|CORR-LOAN-000047|EVT-LOAN-000047
LOAN-000050|325055|2024-01-17T13:09Z|SUCCESS|UTR-LOAN-000050-860|LMS_BOOKING|CORR-LOAN-000050|EVT-LOAN-000050
LOAN-000061|928465|2024-01-17T09:56Z|SUCCESS|UTR-LOAN-000061-254|LMS_BOOKING|CORR-LOAN-000061|EVT-LOAN-000061
LOAN-000074|410956|2024-01-17T12:23Z|SUCCESS|UTR-LOAN-000074-645|LMS_BOOKING|CORR-LOAN-000074|EVT-LOAN-000074
LOAN-000075|290572|2024-01-17T15:04Z|SUCCESS|UTR-LOAN-000075-89|LMS_BOOKING|CORR-LOAN-000075|EVT-LOAN-000075
LOAN-000081|804690|2024-01-17T17:40Z|SUCCESS|UTR-LOAN-000081-959|LMS_BOOKING|CORR-LOAN-000081|EVT-LOAN-000081
LOAN-000084|885370|2024-01-17T14:02Z|SUCCESS|UTR-LOAN-000084-461|LMS_BOOKING|CORR-LOAN-000084|EVT-LOAN-000084
LOAN-000085|809111|2024-01-17T11:31Z|SUCCESS|UTR-LOAN-000085-71|LMS_BOOKING|CORR-LOAN-000085|EVT-LOAN-000085
LOAN-000097|579684|2024-01-17T12:37Z|SUCCESS|UTR-LOAN-000097-17|LMS_BOOKING|CORR-LOAN-000097|EVT-LOAN-000097
LOAN-000112|875722|2024-01-17T13:01Z|SUCCESS|UTR-LOAN-000112-82|LMS_BOOKING|CORR-LOAN-000112|EVT-LOAN-000112
LOAN-000138|511564|2024-01-17T11:43Z|SUCCESS|UTR-LOAN-000138-132|LMS_BOOKING|CORR-LOAN-000138|EVT-LOAN-000138
LOAN-000139|732230|2024-01-17T14:31Z|SUCCESS|UTR-LOAN-000139-258|LMS_BOOKING|CORR-LOAN-000139|EVT-LOAN-000139
LOAN-000140|161579|2024-01-17T11:15Z|SUCCESS|UTR-LOAN-000140-612|LMS_BOOKING|CORR-LOAN-000140|EVT-LOAN-000140
LOAN-000153|731124|2024-01-17T14:28Z|SUCCESS|UTR-LOAN-000153-702|LMS_BOOKING|CORR-LOAN-000153|EVT-LOAN-000153
LOAN-000157|900264|2024-01-17T11:27Z|SUCCESS|UTR-LOAN-000157-838|LMS_BOOKING|CORR-LOAN-000157|EVT-LOAN-000157
LOAN-000177|250549|2024-01-17T13:17Z|SUCCESS|UTR-LOAN-000177-484|LMS_BOOKING|CORR-LOAN-000177|EVT-LOAN-000177
LOAN-000180|260338|2024-01-17T17:49Z|SUCCESS|UTR-LOAN-000180-77|LMS_BOOKING|CORR-LOAN-000180|EVT-LOAN-000180
LOAN-000182|364609|2024-01-17T15:26Z|SUCCESS|UTR-LOAN-000182-31|LMS_BOOKING|CORR-LOAN-000182|EVT-LOAN-000182
LOAN-000189|473097|2024-01-17T17:44Z|SUCCESS|UTR-LOAN-000189-58|LMS_BOOKING|CORR-LOAN-000189|EVT-LOAN-000189
LOAN-000211|428011|2024-01-17T18:04Z|SUCCESS|UTR-LOAN-000211-461|LMS_BOOKING|CORR-LOAN-000211|EVT-LOAN-000211
LOAN-000214|397623|2024-01-17T15:23Z|SUCCESS|UTR-LOAN-000214-898|LMS_BOOKING|CORR-LOAN-000214|EVT-LOAN-000214
LOAN-000222|375921|2024-01-17T11:11Z|SUCCESS|UTR-LOAN-000222-26|LMS_BOOKING|CORR-LOAN-000222|EVT-LOAN-000222
