# batch_id=B-PARTNER_BETA-BANK-20240116,partner_code=PARTNER_BETA,business_date=2024-01-16,declared_count=15,declared_amount_paise=8567451
loan_reference,amount_paise,status,timestamp,utr_reference,event_type,correlation_id,business_event_id
LOAN-000007,127193,SUCCESS,2024-01-16T10:54Z,UTR-LOAN-000007-410,SETTLEMENT_DEBIT,CORR-LOAN-000007,EVT-LOAN-000007
LOAN-000008,328261,SUCCESS,2024-01-16T14:36Z,UTR-LOAN-000008-601,SETTLEMENT_DEBIT,CORR-LOAN-000008,EVT-LOAN-000008
LOAN-000010,227573,SUCCESS,2024-01-16T15:06Z,UTR-LOAN-000010-93,SETTLEMENT_DEBIT,CORR-LOAN-000010,EVT-LOAN-000010
LOAN-000017,742352,SUCCESS,2024-01-16T15:50Z,UTR-LOAN-000017-168,SETTLEMENT_DEBIT,CORR-LOAN-000017,EVT-LOAN-000017
LOAN-000034,529065,SUCCESS,2024-01-16T15:45Z,UTR-LOAN-000034-340,SETTLEMENT_DEBIT,CORR-LOAN-000034,EVT-LOAN-000034
LOAN-000043,920771,SUCCESS,2024-01-16T17:03Z,UTR-LOAN-000043-56,SETTLEMENT_DEBIT,CORR-LOAN-000043,EVT-LOAN-000043
LOAN-000051,663347,SUCCESS,2024-01-16T15:51Z,UTR-LOAN-000051-441,SETTLEMENT_DEBIT,CORR-LOAN-000051,EVT-LOAN-000051
LOAN-000055,662786,SUCCESS,2024-01-16T13:40Z,UTR-LOAN-000055-100,SETTLEMENT_DEBIT,CORR-LOAN-000055,EVT-LOAN-000055
LOAN-000058,837638,SUCCESS,2024-01-16T12:48Z,UTR-LOAN-000058-759,SETTLEMENT_DEBIT,CORR-LOAN-000058,EVT-LOAN-000058
LOAN-000065,772721,SUCCESS,2024-01-16T14:56Z,UTR-LOAN-000065-875,SETTLEMENT_DEBIT,CORR-LOAN-000065,EVT-LOAN-000065
LOAN-000076,585043,SUCCESS,2024-01-16T11:00Z,UTR-LOAN-000076-678,SETTLEMENT_DEBIT,CORR-LOAN-000076,EVT-LOAN-000076
LOAN-000086,929389,SUCCESS,2024-01-16T13:17Z,UTR-LOAN-000086-940,SETTLEMENT_DEBIT,CORR-LOAN-000086,EVT-LOAN-000086
LOAN-000087,409828,SUCCESS,2024-01-16T12:19Z,UTR-LOAN-000087-484,SETTLEMENT_DEBIT,CORR-LOAN-000087,EVT-LOAN-000087
LOAN-000089,354281,SUCCESS,2024-01-16T12:52Z,UTR-LOAN-000089-218,SETTLEMENT_DEBIT,CORR-LOAN-000089,EVT-LOAN-000089
LOAN-000095,477203,SUCCESS,2024-01-16T11:26Z,UTR-LOAN-000095-637,SETTLEMENT_DEBIT,CORR-LOAN-000095,EVT-LOAN-000095
