# batch_id=B-PARTNER_BETA-LMS-20240116,partner_code=PARTNER_BETA,business_date=2024-01-16,declared_count=11,declared_amount_paise=6349669
loan_reference,amount_paise,status,timestamp,utr_reference,event_type,correlation_id,business_event_id
LOAN-000006,291497,SUCCESS,2024-01-16T15:29Z,UTR-LOAN-000006-263,LMS_BOOKING,CORR-LOAN-000006,EVT-LOAN-000006
LOAN-000032,272268,SUCCESS,2024-01-16T12:45Z,UTR-LOAN-000032-976,LMS_BOOKING,CORR-LOAN-000032,EVT-LOAN-000032
LOAN-000041,516814,SUCCESS,2024-01-16T15:23Z,UTR-LOAN-000041-539,LMS_BOOKING,CORR-LOAN-000041,EVT-LOAN-000041
LOAN-000057,607071,SUCCESS,2024-01-16T12:45Z,UTR-LOAN-000057-964,LMS_BOOKING,CORR-LOAN-000057,EVT-LOAN-000057
LOAN-000062,996944,SUCCESS,2024-01-16T16:20Z,UTR-LOAN-000062-786,LMS_BOOKING,CORR-LOAN-000062,EVT-LOAN-000062
LOAN-000068,228189,SUCCESS,2024-01-16T13:30Z,UTR-LOAN-000068-268,LMS_BOOKING,CORR-LOAN-000068,EVT-LOAN-000068
LOAN-000069,666081,SUCCESS,2024-01-16T14:10Z,UTR-LOAN-000069-917,LMS_BOOKING,CORR-LOAN-000069,EVT-LOAN-000069
LOAN-000078,552031,SUCCESS,2024-01-16T13:28Z,UTR-LOAN-000078-178,LMS_BOOKING,CORR-LOAN-000078,EVT-LOAN-000078
LOAN-000090,300399,SUCCESS,2024-01-16T12:44Z,UTR-LOAN-000090-395,LMS_BOOKING,CORR-LOAN-000090,EVT-LOAN-000090
LOAN-000094,995389,SUCCESS,2024-01-16T16:20Z,UTR-LOAN-000094-598,LMS_BOOKING,CORR-LOAN-000094,EVT-LOAN-000094
LOAN-000096,922986,SUCCESS,2024-01-16T13:25Z,UTR-LOAN-000096-441,LMS_BOOKING,CORR-LOAN-000096,EVT-LOAN-000096
