#HDR|B-PARTNER_GAMMA-BANK-20240115|PARTNER_GAMMA|2024-01-15|15|7055578
LOAN_ID|DISB_AMT_PAISE|TS|STATUS|UTR|EVT_TYPE|CORR_ID|BIZ_EVT_ID
LOAN-000012|123346|2024-01-15T15:18Z|SUCCESS|UTR-LOAN-000012-579|SETTLEMENT_DEBIT|CORR-LOAN-000012|EVT-LOAN-000012
LOAN-000014|436410|2024-01-15T10:50Z|SUCCESS|UTR-LOAN-000014-429|SETTLEMENT_DEBIT|CORR-LOAN-000014|EVT-LOAN-000014
LOAN-000023|251991|2024-01-15T11:44Z|SUCCESS|UTR-LOAN-000023-634|SETTLEMENT_DEBIT|CORR-LOAN-000023|EVT-LOAN-000023
LOAN-000033|196306|2024-01-15T09:00Z|SUCCESS|UTR-LOAN-000033-588|SETTLEMENT_DEBIT|CORR-LOAN-000033|EVT-LOAN-000033
LOAN-000034|335176|2024-01-15T16:21Z|SUCCESS|UTR-LOAN-000034-991|SETTLEMENT_DEBIT|CORR-LOAN-000034|EVT-LOAN-000034
LOAN-000045|790862|2024-01-15T10:24Z|SUCCESS|UTR-LOAN-000045-843|SETTLEMENT_DEBIT|CORR-LOAN-000045|EVT-LOAN-000045
LOAN-000046|907471|2024-01-15T13:50Z|SUCCESS|UTR-LOAN-000046-302|SETTLEMENT_DEBIT|CORR-LOAN-000046|EVT-LOAN-000046
LOAN-000050|992589|2024-01-15T16:46Z|SUCCESS|UTR-LOAN-000050-915|SETTLEMENT_DEBIT|CORR-LOAN-000050|EVT-LOAN-000050
LOAN-000056|539692|2024-01-15T15:53Z|SUCCESS|UTR-LOAN-000056-273|SETTLEMENT_DEBIT|CORR-LOAN-000056|EVT-LOAN-000056
LOAN-000058|197258|2024-01-15T09:59Z|SUCCESS|UTR-LOAN-000058-473|SETTLEMENT_DEBIT|CORR-LOAN-000058|EVT-LOAN-000058
LOAN-000059|337297|2024-01-15T16:16Z|SUCCESS|UTR-LOAN-000059-402|SETTLEMENT_DEBIT|CORR-LOAN-000059|EVT-LOAN-000059
LOAN-000073|456142|2024-01-15T14:21Z|SUCCESS|UTR-LOAN-000073-539|SETTLEMENT_DEBIT|CORR-LOAN-000073|EVT-LOAN-000073
LOAN-000076|721320|2024-01-15T10:10Z|SUCCESS|UTR-LOAN-000076-302|SETTLEMENT_DEBIT|CORR-LOAN-000076|EVT-LOAN-000076
LOAN-000083|544524|2024-01-15T11:28Z|SUCCESS|UTR-LOAN-000083-921|SETTLEMENT_DEBIT|CORR-LOAN-000083|EVT-LOAN-000083
LOAN-000088|225194|2024-01-15T13:08Z|SUCCESS|UTR-LOAN-000088-586|SETTLEMENT_DEBIT|CORR-LOAN-000088|EVT-LOAN-000088
