# batch_id=B-PARTNER_BETA-LMS-20240116,partner_code=PARTNER_BETA,business_date=2024-01-16,declared_count=214,declared_amount_paise=119800193
loan_reference,amount_paise,status,timestamp,utr_reference,event_type,correlation_id,business_event_id
LOAN-000007,127193,SUCCESS,2024-01-16T11:58Z,UTR-LOAN-000007-410,LMS_BOOKING,CORR-LOAN-000007,EVT-LOAN-000007
LOAN-000008,328261,SUCCESS,2024-01-16T14:09Z,UTR-LOAN-000008-601,LMS_BOOKING,CORR-LOAN-000008,EVT-LOAN-000008
LOAN-000010,227573,SUCCESS,2024-01-16T15:31Z,UTR-LOAN-000010-93,LMS_BOOKING,CORR-LOAN-000010,EVT-LOAN-000010
LOAN-000017,742352,SUCCESS,2024-01-16T16:10Z,UTR-LOAN-000017-168,LMS_BOOKING,CORR-LOAN-000017,EVT-LOAN-000017
LOAN-000034,529065,SUCCESS,2024-01-16T15:53Z,UTR-LOAN-000034-340,LMS_BOOKING,CORR-LOAN-000034,EVT-LOAN-000034
LOAN-000043,920771,SUCCESS,2024-01-16T17:36Z,UTR-LOAN-000043-56,LMS_BOOKING,CORR-LOAN-000043,EVT-LOAN-000043
LOAN-000051,663347,SUCCESS,2024-01-16T16:26Z,UTR-LOAN-000051-441,LMS_BOOKING,CORR-LOAN-000051,EVT-LOAN-000051
LOAN-000055,662786,SUCCESS,2024-01-16T14:43Z,UTR-LOAN-000055-100,LMS_BOOKING,CORR-LOAN-000055,EVT-LOAN-000055
LOAN-000058,837638,SUCCESS,2024-01-16T13:00Z,UTR-LOAN-000058-759,LMS_BOOKING,CORR-LOAN-000058,EVT-LOAN-000058
LOAN-000065,772721,SUCCESS,2024-01-16T15:13Z,UTR-LOAN-000065-875,LMS_BOOKING,CORR-LOAN-000065,EVT-LOAN-000065
LOAN-000076,585043,SUCCESS,2024-01-16T11:40Z,UTR-LOAN-000076-678,LMS_BOOKING,CORR-LOAN-000076,EVT-LOAN-000076
LOAN-000086,929389,SUCCESS,2024-01-16T14:38Z,UTR-LOAN-000086-940,LMS_BOOKING,CORR-LOAN-000086,EVT-LOAN-000086
LOAN-000087,409828,SUCCESS,2024-01-16T13:51Z,UTR-LOAN-000087-484,LMS_BOOKING,CORR-LOAN-000087,EVT-LOAN-000087
LOAN-000089,354281,SUCCESS,2024-01-16T14:15Z,UTR-LOAN-000089-218,LMS_BOOKING,CORR-LOAN-000089,EVT-LOAN-000089
LOAN-000095,477203,SUCCESS,2024-01-16T11:28Z,UTR-LOAN-000095-637,LMS_BOOKING,CORR-LOAN-000095,EVT-LOAN-000095
LOAN-000105,397859,SUCCESS,2024-01-16T13:02Z,UTR-LOAN-000105-611,LMS_BOOKING,CORR-LOAN-000105,EVT-LOAN-000105
LOAN-000129,227257,SUCCESS,2024-01-16T13:16Z,UTR-LOAN-000129-872,LMS_BOOKING,CORR-LOAN-000129,EVT-LOAN-000129
LOAN-000158,910086,SUCCESS,2024-01-16T15:06Z,UTR-LOAN-000158-426,LMS_BOOKING,CORR-LOAN-000158,EVT-LOAN-000158
LOAN-000161,869232,SUCCESS,2024-01-16T16:12Z,UTR-LOAN-000161-601,LMS_BOOKING,CORR-LOAN-000161,EVT-LOAN-000161
LOAN-000181,200034,SUCCESS,2024-01-16T12:55Z,UTR-LOAN-000181-210,LMS_BOOKING,CORR-LOAN-000181,EVT-LOAN-000181
