#HDR|B-PARTNER_GAMMA-LMS-20240115|PARTNER_GAMMA|2024-01-15|212|113542519
LOAN_ID|DISB_AMT_PAISE|TS|STATUS|UTR|EVT_TYPE|CORR_ID|BIZ_EVT_ID
LOAN-000004|446030|2024-01-15T15:17Z|SUCCESS|UTR-LOAN-000004-756|LMS_BOOKING|CORR-LOAN-000004|EVT-LOAN-000004
LOAN-000020|745481|2024-01-15T16:22Z|SUCCESS|UTR-LOAN-000020-441|LMS_BOOKING|CORR-LOAN-000020|EVT-LOAN-000020
LOAN-000033|974815|2024-01-15T16:38Z|SUCCESS|UTR-LOAN-000033-816|LMS_BOOKING|CORR-LOAN-000033|EVT-LOAN-000033
LOAN-000064|876778|2024-01-15T10:43Z|SUCCESS|UTR-LOAN-000064-233|LMS_BOOKING|CORR-LOAN-000064|EVT-LOAN-000064
LOAN-000069|269674|2024-01-15T13:16Z|SUCCESS|UTR-LOAN-000069-480|LMS_BOOKING|CORR-LOAN-000069|EVT-LOAN-000069
LOAN-000073|196863|2024-01-15T16:06Z|SUCCESS|UTR-LOAN-000073-551|LMS_BOOKING|CORR-LOAN-000073|EVT-LOAN-000073
LOAN-000077|262806|2024-01-15T10:36Z|SUCCESS|UTR-LOAN-000077-821|LMS_BOOKING|CORR-LOAN-000077|EVT-LOAN-000077
LOAN-000090|389107|2024-01-15T14:32Z|SUCCESS|UTR-LOAN-000090-281|LMS_BOOKING|CORR-LOAN-000090|EVT-LOAN-000090
LOAN-000092|112304|2024-01-15T12:21Z|SUCCESS|UTR-LOAN-000092-988|LMS_BOOKING|CORR-LOAN-000092|EVT-LOAN-000092
LOAN-000125|375465|2024-01-15T11:33Z|SUCCESS|UTR-LOAN-000125-908|LMS_BOOKING|CORR-LOAN-000125|EVT-LOAN-000125
LOAN-000134|293445|2024-01-15T14:27Z|SUCCESS|UTR-LOAN-000134-320|LMS_BOOKING|CORR-LOAN-000134|EVT-LOAN-000134
LOAN-000141|937488|2024-01-15T14:33Z|SUCCESS|UTR-LOAN-000141-454|LMS_BOOKING|CORR-LOAN-000141|EVT-LOAN-000141
LOAN-000142|934989|2024-01-15T16:51Z|SUCCESS|UTR-LOAN-000142-316|LMS_BOOKING|CORR-LOAN-000142|EVT-LOAN-000142
LOAN-000155|711510|2024-01-15T11:24Z|SUCCESS|UTR-LOAN-000155-343|LMS_BOOKING|CORR-LOAN-000155|EVT-LOAN-000155
LOAN-000164|148274|2024-01-15T13:09Z|SUCCESS|UTR-LOAN-000164-648|LMS_BOOKING|CORR-LOAN-000164|EVT-LOAN-000164
LOAN-000173|106416|2024-01-15T18:08Z|SUCCESS|UTR-LOAN-000173-861|LMS_BOOKING|CORR-LOAN-000173|EVT-LOAN-000173
LOAN-000191|470168|2024-01-15T16:13Z|SUCCESS|UTR-LOAN-000191-778|LMS_BOOKING|CORR-LOAN-000191|EVT-LOAN-000191
LOAN-000192|336126|2024-01-15T17:46Z|SUCCESS|UTR-LOAN-000192-992|LMS_BOOKING|CORR-LOAN-000192|EVT-LOAN-000192
LOAN-000196|767218|2024-01-15T13:14Z|SUCCESS|UTR-LOAN-000196-905|LMS_BOOKING|CORR-LOAN-000196|EVT-LOAN-000196
LOAN-000205|629938|2024-01-15T14:20Z|SUCCESS|UTR-LOAN-000205-382|LMS_BOOKING|CORR-LOAN-000205|EVT-LOAN-000205
LOAN-000217|798152|2024-01-15T12:00Z|SUCCESS|UTR-LOAN-000217-89|LMS_BOOKING|CORR-LOAN-000217|EVT-LOAN-000217
LOAN-000223|561012|2024-01-15T11:49Z|SUCCESS|UTR-LOAN-000223-632|LMS_BOOKING|CORR-LOAN-000223|EVT-LOAN-000223
LOAN-000231|864257|2024-01-15T12:46Z|SUCCESS|UTR-LOAN-000231-286|LMS_BOOKING|CORR-LOAN-000231|EVT-LOAN-000231
LOAN-000260|641593|2024-01-15T17:18Z|SUCCESS|UTR-LOAN-000260-51|LMS_BOOKING|CORR-LOAN-000260|EVT-LOAN-000260
LOAN-000262|615035|2024-01-15T10:50Z|SUCCESS|UTR-LOAN-000262-418|LMS_BOOKING|CORR-LOAN-000262|EVT-LOAN-000262
