#HDR|B-PARTNER_GAMMA-ORIGINATOR-20240115|PARTNER_GAMMA|2024-01-15|213|111415680
LOAN_ID|DISB_AMT_PAISE|TS|STATUS|UTR|EVT_TYPE|CORR_ID|BIZ_EVT_ID
LOAN-000001|311248|2024-01-15T09:30Z|SUCCESS|UTR-LOAN-000001-918|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000001|EVT-LOAN-000001
LOAN-000004|446030|2024-01-15T15:07Z|SUCCESS|UTR-LOAN-000004-756|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000004|EVT-LOAN-000004
LOAN-000020|745481|2024-01-15T15:20Z|SUCCESS|UTR-LOAN-000020-441|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000020|EVT-LOAN-000020
LOAN-000033|974815|2024-01-15T16:38Z|SUCCESS|UTR-LOAN-000033-816|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000033|EVT-LOAN-000033
LOAN-000064|876778|2024-01-15T09:44Z|SUCCESS|UTR-LOAN-000064-233|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000064|EVT-LOAN-000064
LOAN-000069|-269674|2024-01-15T13:08Z|SUCCESS|UTR-LOAN-000069-480|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000069|EVT-LOAN-000069
LOAN-000073|196863|2024-01-15T15:36Z|SUCCESS|UTR-LOAN-000073-551|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000073|EVT-LOAN-000073
LOAN-000077|262806|2024-01-15T10:23Z|SUCCESS|UTR-LOAN-000077-821|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000077|EVT-LOAN-000077
LOAN-000090|389107|2024-01-15T12:51Z|SUCCESS|UTR-LOAN-000090-281|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000090|EVT-LOAN-000090
LOAN-000092|112304|2024-01-15T10:31Z|SUCCESS|UTR-LOAN-000092-988|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000092|EVT-LOAN-000092
LOAN-000125|375465|2024-01-15T10:21Z|SUCCESS|UTR-LOAN-000125-908|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000125|EVT-LOAN-000125
LOAN-000134|293445|2024-01-15T14:05Z|SUCCESS|UTR-LOAN-000134-320|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000134|EVT-LOAN-000134
LOAN-000141|937488|2024-01-15T13:48Z|SUCCESS|UTR-LOAN-000141-454|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000141|EVT-LOAN-000141
LOAN-000142|934989|2024-01-15T15:16Z|SUCCESS|UTR-LOAN-000142-316|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000142|EVT-LOAN-000142
LOAN-000164|148274|2024-01-15T12:12Z|SUCCESS|UTR-LOAN-000164-648|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000164|EVT-LOAN-000164
LOAN-000173|106416|2024-01-15T16:16Z|SUCCESS|UTR-LOAN-000173-861|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000173|EVT-LOAN-000173
LOAN-000191|470168|2024-01-15T15:40Z|SUCCESS|UTR-LOAN-000191-778|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000191|EVT-LOAN-000191
LOAN-000192|336126|2024-01-15T16:49Z|SUCCESS|UTR-LOAN-000192-992|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000192|EVT-LOAN-000192
LOAN-000196|767218|2024-01-15T12:38Z|SUCCESS|UTR-LOAN-000196-905|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000196|EVT-LOAN-000196
LOAN-000205|629938|2024-01-15T13:34Z|SUCCESS|UTR-LOAN-000205-382|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000205|EVT-LOAN-000205
LOAN-000217|798152|2024-01-15T11:21Z|SUCCESS|UTR-LOAN-000217-89|DISBURSEMENT_INSTRUCTION|CORR-LOAN-000217|EVT-LOAN-000217
