# batch_id=B-PARTNER_BETA-LMS-20240117,partner_code=PARTNER_BETA,business_date=2024-01-17,declared_count=106,declared_amount_paise=64781218
loan_reference,amount_paise,status,timestamp,utr_reference,event_type,correlation_id,business_event_id
LOAN-000002,577182,SUCCESS,2024-01-17T14:32Z,UTR-LOAN-000002-32,LMS_BOOKING,CORR-LOAN-000002,EVT-LOAN-000002
LOAN-000027,790150,SUCCESS,2024-01-17T10:42Z,UTR-LOAN-000027-305,LMS_BOOKING,CORR-LOAN-000027,EVT-LOAN-000027
LOAN-000036,680452,SUCCESS,2024-01-17T15:29Z,UTR-LOAN-000036-788,LMS_BOOKING,CORR-LOAN-000036,EVT-LOAN-000036
LOAN-000040,399243,SUCCESS,2024-01-17T13:40Z,UTR-LOAN-000040-800,LMS_BOOKING,CORR-LOAN-000040,EVT-LOAN-000040
LOAN-000044,738842,SUCCESS,2024-01-17T14:03Z,UTR-LOAN-000044-557,LMS_BOOKING,CORR-LOAN-000044,EVT-LOAN-000044
LOAN-000048,582165,SUCCESS,2024-01-17T14:54Z,UTR-LOAN-000048-945,LMS_BOOKING,CORR-LOAN-000048,EVT-LOAN-000048
LOAN-000094,928388,SUCCESS,2024-01-17T13:54Z,UTR-LOAN-000094-754,LMS_BOOKING,CORR-LOAN-000094,EVT-LOAN-000094
LOAN-000096,756212,SUCCESS,2024-01-17T15:17Z,UTR-LOAN-000096-606,LMS_BOOKING,CORR-LOAN-000096,EVT-LOAN-000096
LOAN-000107,804408,SUCCESS,2024-01-17T10:23Z,UTR-LOAN-000107-485,LMS_BOOKING,CORR-LOAN-000107,EVT-LOAN-000107
LOAN-000119,615145,SUCCESS,2024-01-17T16:10Z,UTR-LOAN-000119-429,LMS_BOOKING,CORR-LOAN-000119,EVT-LOAN-000119
LOAN-000137,147177,SUCCESS,2024-01-17T10:22Z,UTR-LOAN-000137-737,LMS_BOOKING,CORR-LOAN-000137,EVT-LOAN-000137
LOAN-000143,279676,SUCCESS,2024-01-17T18:04Z,UTR-LOAN-000143-750,LMS_BOOKING,CORR-LOAN-000143,EVT-LOAN-000143
LOAN-000159,820831,SUCCESS,2024-01-17T15:20Z,UTR-LOAN-000159-182,LMS_BOOKING,CORR-LOAN-000159,EVT-LOAN-000159
LOAN-000169,982609,SUCCESS,2024-01-17T17:19Z,UTR-LOAN-000169-145,LMS_BOOKING,CORR-LOAN-000169,EVT-LOAN-000169
LOAN-000185,661469,SUCCESS,2024-01-17T18:26Z,UTR-LOAN-000185-67,LMS_BOOKING,CORR-LOAN-000185,EVT-LOAN-000185
LOAN-000188,870378,SUCCESS,2024-01-17T10:46Z,UTR-LOAN-000188-232,LMS_BOOKING,CORR-LOAN-000188,EVT-LOAN-000188
LOAN-000202,352404,SUCCESS,2024-01-17T12:24Z,UTR-LOAN-000202-588,LMS_BOOKING,CORR-LOAN-000202,EVT-LOAN-000202
LOAN-000203,709640,SUCCESS,2024-01-17T12:33Z,UTR-LOAN-000203-123,LMS_BOOKING,CORR-LOAN-000203,EVT-LOAN-000203
LOAN-000206,103189,SUCCESS,2024-01-17T17:12Z,UTR-LOAN-000206-938,LMS_BOOKING,CORR-LOAN-000206,EVT-LOAN-000206
LOAN-000212,737683,SUCCESS,2024-01-17T14:31Z,UTR-LOAN-000212-164,LMS_BOOKING,CORR-LOAN-000212,EVT-LOAN-000212
LOAN-000213,604789,SUCCESS,2024-01-17T11:06Z,UTR-LOAN-000213-865,LMS_BOOKING,CORR-LOAN-000213,EVT-LOAN-000213
LOAN-000234,897770,SUCCESS,2024-01-17T10:41Z,UTR-LOAN-000234-122,LMS_BOOKING,CORR-LOAN-000234,EVT-LOAN-000234
LOAN-000239,878570,SUCCESS,2024-01-17T16:34Z,UTR-LOAN-000239-792,LMS_BOOKING,CORR-LOAN-000239,EVT-LOAN-000239
LOAN-000243,375167,SUCCESS,2024-01-17T12:09Z,UTR-LOAN-000243-31,LMS_BOOKING,CORR-LOAN-000243,EVT-LOAN-000243
LOAN-000249,877333,SUCCESS,2024-01-17T17:27Z,UTR-LOAN-000249-786,LMS_BOOKING,CORR-LOAN-000249,EVT-LOAN-000249
LOAN-000252,742288,SUCCESS,2024-01-17T17:41Z,UTR-LOAN-000252-884,LMS_BOOKING,CORR-LOAN-000252,EVT-LOAN-000252
LOAN-000298,417310,SUCCESS,2024-01-17T12:37Z,UTR-LOAN-000298-702,LMS_BOOKING,CORR-LOAN-000298,EVT-LOAN-000298
LOAN-000303,347592,SUCCESS,2024-01-17T15:23Z,UTR-LOAN-000303-28,LMS_BOOKING,CORR-LOAN-000303,EVT-LOAN-000303
LOAN-000308,246596,SUCCESS,2024-01-17T13:26Z,UTR-LOAN-000308-205,LMS_BOOKING,CORR-LOAN-000308,EVT-LOAN-000308
LOAN-000312,392133,SUCCESS,2024-01-17T11:12Z,UTR-LOAN-000312-794,LMS_BOOKING,CORR-LOAN-000312,EVT-LOAN-000312
LOAN-000318,200031,SUCCESS,2024-01-17T14:27Z,UTR-LOAN-000318-672,LMS_BOOKING,CORR-LOAN-000318,EVT-LOAN-000318
LOAN-000340,381229,SUCCESS,2024-01-17T13:00Z,UTR-LOAN-000340-868,LMS_BOOKING,CORR-LOAN-000340,EVT-LOAN-000340
LOAN-000341,332531,SUCCESS,2024-01-17T15:21Z,UTR-LOAN-000341-412,LMS_BOOKING,CORR-LOAN-000341,EVT-LOAN-000341
LOAN-000345,516487,SUCCESS,2024-01-17T13:38Z,UTR-LOAN-000345-889,LMS_BOOKING,CORR-LOAN-000345,EVT-LOAN-000345
LOAN-000351,725172,SUCCESS,2024-01-17T10:26Z,UTR-LOAN-000351-379,LMS_BOOKING,CORR-LOAN-000351,EVT-LOAN-000351
LOAN-000368,230987,SUCCESS,2024-01-17T12:55Z,UTR-LOAN-000368-967,LMS_BOOKING,CORR-LOAN-000368,EVT-LOAN-000368
LOAN-000370,875614,SUCCESS,2024-01-17T18:14Z,UTR-LOAN-000370-974,LMS_BOOKING,CORR-LOAN-000370,EVT-LOAN-000370
LOAN-000389,810166,SUCCESS,2024-01-17T13:55Z,UTR-LOAN-000389-376,LMS_BOOKING,CORR-LOAN-000389,EVT-LOAN-000389
LOAN-000414,522239,SUCCESS,2024-01-17T12:34Z,UTR-LOAN-000414-33,LMS_BOOKING,CORR-LOAN-000414,EVT-LOAN-000414
LOAN-000415,546848,SUCCESS,2024-01-17T10:49Z,UTR-LOAN-000415-492,LMS_BOOKING,CORR-LOAN-000415,EVT-LOAN-000415
LOAN-000422,298676,SUCCESS,2024-01-17T17:31Z,UTR-LOAN-000422-320,LMS_BOOKING,CORR-LOAN-000422,EVT-LOAN-000422
LOAN-000424,725095,SUCCESS,2024-01-17T16:56Z,UTR-LOAN-000424-305,LMS_BOOKING,CORR-LOAN-000424,EVT-LOAN-000424
LOAN-000434,936738,SUCCESS,2024-01-17T13:08Z,UTR-LOAN-000434-606,LMS_BOOKING,CORR-LOAN-000434,EVT-LOAN-000434
LOAN-000435,931539,SUCCESS,2024-01-17T17:09Z,UTR-LOAN-000435-957,LMS_BOOKING,CORR-LOAN-000435,EVT-LOAN-000435
LOAN-000440,273591,SUCCESS,2024-01-17T15:39Z,UTR-LOAN-000440-910,LMS_BOOKING,CORR-LOAN-000440,EVT-LOAN-000440
LOAN-000456,627352,SUCCESS,2024-01-17T16:31Z,UTR-LOAN-000456-866,LMS_BOOKING,CORR-LOAN-000456,EVT-LOAN-000456
LOAN-000463,987143,SUCCESS,2024-01-17T13:57Z,UTR-LOAN-000463-556,LMS_BOOKING,CORR-LOAN-000463,EVT-LOAN-000463
LOAN-000468,910407,SUCCESS,2024-01-17T18:29Z,UTR-LOAN-000468-747,LMS_BOOKING,CORR-LOAN-000468,EVT-LOAN-000468
LOAN-000484,143600,SUCCESS,2024-01-17T10:19Z,UTR-LOAN-000484-988,LMS_BOOKING,CORR-LOAN-000484,EVT-LOAN-000484
LOAN-000503,800508,SUCCESS,2024-01-17T14:19Z,UTR-LOAN-000503-216,LMS_BOOKING,CORR-LOAN-000503,EVT-LOAN-000503
LOAN-000508,823927,SUCCESS,2024-01-17T12:02Z,UTR-LOAN-000508-263,LMS_BOOKING,CORR-LOAN-000508,EVT-LOAN-000508
LOAN-000523,395496,SUCCESS,2024-01-17T14:34Z,UTR-LOAN-000523-721,LMS_BOOKING,CORR-LOAN-000523,EVT-LOAN-000523
LOAN-000550,834578,SUCCESS,2024-01-17T16:36Z,UTR-LOAN-000550-346,LMS_BOOKING,CORR-LOAN-000550,EVT-LOAN-000550
LOAN-000554,632700,SUCCESS,2024-01-17T14:16Z,UTR-LOAN-000554-836,LMS_BOOKING,CORR-LOAN-000554,EVT-LOAN-000554
LOAN-000555,729840,SUCCESS,2024-01-17T15:33Z,UTR-LOAN-000555-552,LMS_BOOKING,CORR-LOAN-000555,EVT-LOAN-000555
LOAN-000557,633900,SUCCESS,2024-01-17T09:55Z,UTR-LOAN-000557-7,LMS_BOOKING,CORR-LOAN-000557,EVT-LOAN-000557
LOAN-000563,978505,SUCCESS,2024-01-17T14:03Z,UTR-LOAN-000563-161,LMS_BOOKING,CORR-LOAN-000563,EVT-LOAN-000563
LOAN-000569,271074,SUCCESS,2024-01-17T15:02Z,UTR-LOAN-000569-362,LMS_BOOKING,CORR-LOAN-000569,EVT-LOAN-000569
LOAN-000576,365628,SUCCESS,2024-01-17T13:10Z,UTR-LOAN-000576-907,LMS_BOOKING,CORR-LOAN-000576,EVT-LOAN-000576
LOAN-000579,413854,SUCCESS,2024-01-17T09:53Z,UTR-LOAN-000579-438,LMS_BOOKING,CORR-LOAN-000579,EVT-LOAN-000579
LOAN-000580,455540,SUCCESS,2024-01-17T10:01Z,UTR-LOAN-000580-580,LMS_BOOKING,CORR-LOAN-000580,EVT-LOAN-000580
LOAN-000589,645094,SUCCESS,2024-01-17T13:33Z,UTR-LOAN-000589-584,LMS_BOOKING,CORR-LOAN-000589,EVT-LOAN-000589
LOAN-000590,474222,SUCCESS,2024-01-17T15:21Z,UTR-LOAN-000590-46,LMS_BOOKING,CORR-LOAN-000590,EVT-LOAN-000590
LOAN-000593,887526,SUCCESS,2024-01-17T17:21Z,UTR-LOAN-000593-405,LMS_BOOKING,CORR-LOAN-000593,EVT-LOAN-000593
